seed,environment_set,environment_variant,seen_fraction,coverage,phase,reached_phase2,final_mode,actions,forward_actions,turns,replans,information_replans,coverage_replans,observation_surprises,object_changes,temperature_changes,smell_changes,direct_hazard_entries,meat_collected,fatigue_health_losses,health,energy,terminated,truncated,neural_phase1_decisions,neural_uncertainty_fallbacks,neural_feasibility_fallbacks,end_reason,phase2_entry_step,phase2_entry_seen_fraction,phase2_entry_coverage,phase2_entry_health,phase2_entry_energy,phase1_forward_actions,phase2_forward_actions,phase1_turns,phase2_turns,wall_bumps,time_energy_cost_total,forward_energy_cost_total,turn_energy_cost_total,thermal_energy_cost_total,meat_health_restored,meat_health_wasted,direct_hazard_health_losses,trace_file
20021,standard,standard,1.0,0.6488888888888888,2,True,coverage,208,169,39,73,42,31,29,3,0,124,0,3,16,0.0,9.570339965820304,True,False,0,0,0,health_zero_fatigue,51,0.8133333333333334,0.19111111111111112,7.0,1.9985641956329308,43,126,8,31,0,41.60000000000005,101.39999999999975,3.900000000000002,13.529660034179688,6.0,0.0,0,seed_20021.jsonl.gz
20022,standard,standard,0.9866666666666667,0.6577777777777778,2,True,coverage,205,169,36,90,60,30,35,5,0,168,0,3,16,0.0,8.837657546997072,True,False,0,0,0,health_zero_fatigue,74,0.8133333333333334,0.24,5.0,5.963766193389891,61,108,13,23,0,41.00000000000004,101.39999999999975,3.600000000000002,15.162342453002935,6.0,0.0,0,seed_20022.jsonl.gz
20023,standard,standard,0.9822222222222222,0.6222222222222222,2,True,coverage,212,170,42,76,43,33,59,5,0,249,0,3,16,0.0,9.392425870895387,True,False,0,0,0,health_zero_fatigue,52,0.8,0.2,7.0,0.538760805130005,44,126,8,34,0,42.40000000000006,101.99999999999974,4.200000000000001,12.007574129104611,6.0,0.0,0,seed_20023.jsonl.gz
20024,standard,standard,0.9866666666666667,0.5955555555555555,2,True,coverage,215,168,47,99,68,31,33,5,0,179,0,3,16,0.0,9.958538103103647,True,False,0,0,0,health_zero_fatigue,85,0.8,0.26666666666666666,4.0,7.81187210083008,69,99,16,31,0,43.00000000000007,100.79999999999976,4.699999999999999,11.541461896896358,6.0,0.0,0,seed_20024.jsonl.gz
20025,standard,standard,0.9955555555555555,0.5511111111111111,2,True,coverage,199,160,39,90,60,30,41,4,0,198,0,3,16,0.0,9.259933185577388,True,False,0,0,0,health_zero_fatigue,76,0.8133333333333334,0.23555555555555555,7.0,2.3263000488281254,61,99,15,24,0,39.800000000000026,95.9999999999998,3.900000000000002,21.040066814422605,6.0,0.0,0,seed_20025.jsonl.gz
20026,standard,standard,1.0,0.6666666666666666,2,True,coverage,208,171,37,77,49,28,30,4,0,147,0,3,14,0.0,9.716315269470211,True,False,0,0,0,health_zero_fatigue,60,0.8,0.22666666666666666,6.0,5.776427841186522,50,121,10,27,0,41.60000000000005,102.59999999999974,3.700000000000002,12.383684730529788,6.0,0.0,0,seed_20026.jsonl.gz
20027,standard,standard,0.96,0.5911111111111111,2,True,coverage,186,154,32,87,60,27,12,2,0,53,0,2,14,0.0,9.46081805229187,True,False,0,0,0,health_zero_fatigue,71,0.8177777777777778,0.24888888888888888,5.0,6.84803719520569,61,93,10,22,0,37.19999999999999,92.39999999999984,3.2000000000000015,7.739181947708127,4.0,0.0,0,seed_20027.jsonl.gz
20028,standard,standard,1.0,0.6577777777777778,2,True,coverage,202,163,39,79,43,36,37,5,0,194,0,3,16,0.0,9.970020961761477,True,False,0,0,0,health_zero_fatigue,52,0.8177777777777778,0.19555555555555557,9.0,0.6275892257690399,44,119,8,31,0,40.400000000000034,97.79999999999978,3.900000000000002,17.92997903823852,6.0,0.0,0,seed_20028.jsonl.gz
20029,standard,standard,0.9688888888888889,0.52,2,True,coverage,185,151,34,82,62,20,26,4,0,134,0,3,14,0.0,9.483950757980345,True,False,0,0,0,health_zero_fatigue,78,0.8044444444444444,0.26666666666666666,5.0,2.1055319309234637,63,88,15,19,0,36.999999999999986,90.59999999999985,3.4000000000000017,9.516049242019653,4.0,2.0,0,seed_20029.jsonl.gz
20030,standard,standard,0.9733333333333334,0.5822222222222222,2,True,coverage,209,162,47,82,58,24,19,3,0,105,0,3,15,0.0,9.234678983688351,True,False,0,0,0,health_zero_fatigue,76,0.8088888888888889,0.2577777777777778,5.0,4.48578600883484,59,103,17,30,0,41.800000000000054,97.19999999999979,4.699999999999999,17.065321016311643,6.0,0.0,0,seed_20030.jsonl.gz
20031,standard,standard,0.9866666666666667,0.6666666666666666,2,True,coverage,204,173,31,77,42,35,37,4,0,157,0,3,16,0.0,9.5517571926117,True,False,0,0,0,health_zero_fatigue,49,0.8,0.19555555555555557,7.0,2.6111248016357433,43,130,6,25,0,40.80000000000004,103.79999999999973,3.1000000000000014,12.748242807388298,6.0,0.0,0,seed_20031.jsonl.gz
20032,standard,standard,1.0,0.6666666666666666,2,True,coverage,204,169,35,73,40,33,28,5,0,168,0,3,15,0.0,9.640520763397214,True,False,0,0,0,health_zero_fatigue,47,0.8,0.18222222222222223,7.0,3.3180146217346187,41,128,6,29,0,40.80000000000004,101.39999999999975,3.5000000000000018,14.659479236602786,6.0,0.0,0,seed_20032.jsonl.gz
20033,standard,standard,0.9866666666666667,0.5688888888888889,2,True,coverage,208,167,41,114,90,24,40,4,0,176,0,3,16,0.0,9.00667700767518,True,False,0,0,0,health_zero_fatigue,119,0.8133333333333334,0.29333333333333333,4.0,3.1145561695098953,91,76,28,13,0,41.60000000000005,100.19999999999976,4.100000000000001,15.093322992324834,6.0,0.0,0,seed_20033.jsonl.gz
20034,standard,standard,0.8977777777777778,0.4266666666666667,2,True,coverage,164,127,37,90,79,11,28,3,0,137,0,2,12,0.0,9.225987577438348,True,False,0,0,0,health_zero_fatigue,106,0.8044444444444444,0.2577777777777778,3.0,3.0288953781127885,80,47,26,11,0,32.799999999999926,76.19999999999999,3.700000000000002,8.074012422561648,2.0,2.0,0,seed_20034.jsonl.gz
