episode,coverage,steps,forward_actions,repeat_forwards,unique_per_forward,health_loss,survived,shaped_reward,loss,policy_loss,value_loss,imitation_loss,approx_kl,teacher_weight,imitation_weight,eval_coverage,eval_coverage_p10,eval_unique_per_forward,eval_survived
96,0.7244444444444444,211.0,171.0,9.0,0.9473684210526315,16.0,0.0,154.69539132499685,45.12216418130057,-0.014855995807530624,85.49841049739292,3.3018681151526317,0.0005096258869998442,10.848,0.7232000000000001,nan,nan,nan,nan
97,0.6622222222222223,193.0,162.0,14.0,0.9135802469135802,16.0,0.0,138.53147504615796,nan,nan,nan,nan,nan,10.836,0.7224,nan,nan,nan,nan
98,0.68,199.0,164.0,12.0,0.926829268292683,16.0,0.0,143.78932829952242,nan,nan,nan,nan,nan,10.824,0.7216,nan,nan,nan,nan
99,0.7066666666666667,199.0,165.0,7.0,0.9575757575757575,16.0,0.0,151.3046388077736,nan,nan,nan,nan,nan,10.812000000000001,0.7208000000000001,nan,nan,nan,nan
100,0.6044444444444445,170.0,142.0,7.0,0.9507042253521126,14.0,0.0,129.19647526454935,nan,nan,nan,nan,nan,10.8,0.7200000000000001,0.6423111111111112,0.5711111111111111,0.8853787953201305,0.0
101,0.6444444444444445,177.0,148.0,4.0,0.972972972972973,14.0,0.0,139.1649691791535,nan,nan,nan,nan,nan,10.788,0.7192000000000001,nan,nan,nan,nan
102,0.7377777777777778,190.0,167.0,2.0,0.9880239520958084,15.0,0.0,160.37174484825138,nan,nan,nan,nan,nan,10.776,0.7184,nan,nan,nan,nan
103,0.6444444444444445,187.0,156.0,12.0,0.9230769230769231,14.0,0.0,136.4099622774124,nan,nan,nan,nan,nan,10.764,0.7176,nan,nan,nan,nan
104,0.6533333333333333,178.0,149.0,3.0,0.9798657718120806,14.0,0.0,141.46344141721733,nan,nan,nan,nan,nan,10.752,0.7168000000000001,nan,nan,nan,nan
105,0.7288888888888889,207.0,173.0,10.0,0.9421965317919075,16.0,0.0,155.32789992570872,nan,nan,nan,nan,nan,10.74,0.7160000000000001,nan,nan,nan,nan
106,0.7777777777777778,213.0,180.0,6.0,0.9666666666666667,16.0,0.0,167.62480360889424,nan,nan,nan,nan,nan,10.728,0.7152000000000001,nan,nan,nan,nan
107,0.6977777777777778,190.0,159.0,3.0,0.9811320754716981,15.0,0.0,151.03093649148943,nan,nan,nan,nan,nan,10.716000000000001,0.7144,nan,nan,nan,nan
108,0.5866666666666667,175.0,140.0,9.0,0.9357142857142857,14.0,0.0,124.56902908039096,nan,nan,nan,nan,nan,10.704,0.7136,nan,nan,nan,nan
109,0.7422222222222222,203.0,173.0,7.0,0.9595375722543352,16.0,0.0,159.2046657757758,nan,nan,nan,nan,nan,10.692,0.7128000000000001,nan,nan,nan,nan
110,0.72,213.0,171.0,10.0,0.9415204678362573,16.0,0.0,153.36823786687847,nan,nan,nan,nan,nan,10.68,0.7120000000000001,nan,nan,nan,nan
111,0.7066666666666667,199.0,165.0,7.0,0.9575757575757575,16.0,0.0,151.3001749224663,nan,nan,nan,nan,nan,10.668,0.7112,nan,nan,nan,nan
112,0.6755555555555556,195.0,156.0,5.0,0.967948717948718,15.0,0.0,145.30315863943108,41.91728721346174,-0.004355255481121796,79.0896600314549,3.3458856684820995,0.0002175999503870913,10.656,0.7104,nan,nan,nan,nan
113,0.7377777777777778,198.0,170.0,5.0,0.9705882352941176,15.0,0.0,159.37747877597815,nan,nan,nan,nan,nan,10.644,0.7096,nan,nan,nan,nan
114,0.7155555555555555,204.0,166.0,6.0,0.963855421686747,16.0,0.0,153.5401150488853,nan,nan,nan,nan,nan,10.632,0.7088000000000001,nan,nan,nan,nan
115,0.7288888888888889,207.0,167.0,4.0,0.9760479041916168,16.0,0.0,157.1920296592713,nan,nan,nan,nan,nan,10.620000000000001,0.7080000000000001,nan,nan,nan,nan
116,0.6355555555555555,169.0,145.0,3.0,0.9793103448275862,14.0,0.0,137.53276687097562,nan,nan,nan,nan,nan,10.608,0.7072,nan,nan,nan,nan
117,0.6755555555555556,215.0,174.0,23.0,0.867816091954023,16.0,0.0,138.8443830161093,nan,nan,nan,nan,nan,10.596,0.7064,nan,nan,nan,nan
118,0.6933333333333334,202.0,164.0,9.0,0.9451219512195121,16.0,0.0,147.64436611032488,nan,nan,nan,nan,nan,10.584,0.7056,nan,nan,nan,nan
119,0.6266666666666667,199.0,157.0,17.0,0.89171974522293,16.0,0.0,130.02643187618267,nan,nan,nan,nan,nan,10.572,0.7048000000000001,nan,nan,nan,nan
120,0.8088888888888889,209.0,185.0,4.0,0.9783783783783784,16.0,0.0,175.4398825035094,nan,nan,nan,nan,nan,10.56,0.7040000000000001,nan,nan,nan,nan
121,0.7244444444444444,204.0,170.0,8.0,0.9529411764705882,15.0,0.0,155.48233113670338,nan,nan,nan,nan,nan,10.548,0.7032,nan,nan,nan,nan
122,0.6755555555555556,204.0,164.0,13.0,0.9207317073170732,16.0,0.0,142.1733189897537,nan,nan,nan,nan,nan,10.536,0.7024,nan,nan,nan,nan
123,0.7377777777777778,205.0,172.0,7.0,0.9593023255813954,16.0,0.0,158.4013981151581,nan,nan,nan,nan,nan,10.524000000000001,0.7016,nan,nan,nan,nan
124,0.76,209.0,175.0,5.0,0.9714285714285714,16.0,0.0,163.98702088308343,nan,nan,nan,nan,nan,10.512,0.7008000000000001,nan,nan,nan,nan
125,0.7333333333333333,204.0,169.0,5.0,0.9704142011834319,16.0,0.0,157.97085700845707,nan,nan,nan,nan,nan,10.5,0.7000000000000001,nan,nan,nan,nan
126,0.6666666666666666,208.0,162.0,13.0,0.9197530864197531,16.0,0.0,140.40098868370055,nan,nan,nan,nan,nan,10.488,0.6992,nan,nan,nan,nan
127,0.6533333333333333,177.0,151.0,5.0,0.9668874172185431,14.0,0.0,140.82222209930433,nan,nan,nan,nan,nan,10.475999999999999,0.6984,nan,nan,nan,nan
128,0.7733333333333333,207.0,179.0,6.0,0.9664804469273743,16.0,0.0,166.69947213268253,29.040459496634348,0.00031348327840013165,53.69682134900774,3.141982453210013,0.0006630701047582375,10.464,0.6976,nan,nan,nan,nan
129,0.7022222222222222,191.0,161.0,4.0,0.9751552795031055,15.0,0.0,151.66497480869293,nan,nan,nan,nan,nan,10.452,0.6968000000000001,nan,nan,nan,nan
130,0.7022222222222222,198.0,164.0,7.0,0.9573170731707317,16.0,0.0,150.38263717651358,nan,nan,nan,nan,nan,10.44,0.6960000000000001,nan,nan,nan,nan
131,0.6933333333333334,193.0,161.0,6.0,0.9627329192546584,15.0,0.0,149.03569810009006,nan,nan,nan,nan,nan,10.428,0.6952,nan,nan,nan,nan
132,0.6844444444444444,183.0,156.0,3.0,0.9807692307692307,15.0,0.0,148.0133896083831,nan,nan,nan,nan,nan,10.416,0.6944,nan,nan,nan,nan
133,0.76,208.0,178.0,8.0,0.9550561797752809,16.0,0.0,163.14725835418693,nan,nan,nan,nan,nan,10.404,0.6936,nan,nan,nan,nan
134,0.72,208.0,170.0,9.0,0.9470588235294117,16.0,0.0,153.5673193888664,nan,nan,nan,nan,nan,10.392,0.6928000000000001,nan,nan,nan,nan
135,0.7111111111111111,219.0,177.0,18.0,0.8983050847457628,16.0,0.0,148.64399618625632,nan,nan,nan,nan,nan,10.379999999999999,0.6920000000000001,nan,nan,nan,nan
136,0.6933333333333334,207.0,167.0,12.0,0.9281437125748503,16.0,0.0,146.6393697018623,nan,nan,nan,nan,nan,10.368,0.6912,nan,nan,nan,nan
137,0.7422222222222222,206.0,174.0,8.0,0.9540229885057471,16.0,0.0,159.11536475610728,nan,nan,nan,nan,nan,10.356,0.6904,nan,nan,nan,nan
138,0.7066666666666667,213.0,170.0,12.0,0.9294117647058824,16.0,0.0,149.51037782526024,nan,nan,nan,nan,nan,10.344,0.6896,nan,nan,nan,nan
139,0.7022222222222222,203.0,166.0,9.0,0.9457831325301205,16.0,0.0,149.58435334730143,nan,nan,nan,nan,nan,10.332,0.6888000000000001,nan,nan,nan,nan
140,0.6622222222222223,193.0,158.0,10.0,0.9367088607594937,16.0,0.0,140.22226924085635,nan,nan,nan,nan,nan,10.32,0.6880000000000001,nan,nan,nan,nan
141,0.6755555555555556,181.0,155.0,4.0,0.9741935483870968,13.0,0.0,146.42665321111676,nan,nan,nan,nan,nan,10.308,0.6872,nan,nan,nan,nan
142,0.5733333333333334,146.0,128.0,0.0,1.0,12.0,0.0,125.32413840293894,nan,nan,nan,nan,nan,10.296,0.6864,nan,nan,nan,nan
143,0.7333333333333333,200.0,170.0,6.0,0.9647058823529412,15.0,0.0,157.96942010641084,nan,nan,nan,nan,nan,10.283999999999999,0.6856,nan,nan,nan,nan
144,0.7244444444444444,210.0,172.0,10.0,0.9418604651162791,16.0,0.0,154.2665501689911,24.4766583442688,-0.00586820297342326,44.794878823416575,3.044981913907187,6.644993222591568e-06,10.272,0.6848000000000001,nan,nan,nan,nan
145,0.6622222222222223,186.0,156.0,8.0,0.9487179487179487,15.0,0.0,141.46907453536994,nan,nan,nan,nan,nan,10.26,0.684,nan,nan,nan,nan
146,0.6444444444444445,178.0,150.0,6.0,0.96,14.0,0.0,138.49442713356024,nan,nan,nan,nan,nan,10.248,0.6832,nan,nan,nan,nan
