result_file,map_size,decision_family,approach,artifact_kind,bytes
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/trace_smoke.csv,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations,supporting_result,1366
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/trace_smoke_analysis/failure_analysis.json,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations/trace_smoke_analysis,analysis,10109
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/trace_smoke_analysis/failure_cases.csv,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations/trace_smoke_analysis,analysis,1827
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/trace_smoke_analysis/report.md,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations/trace_smoke_analysis,analysis,2124
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/trace_smoke_analysis_paired/failure_analysis.json,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations/trace_smoke_analysis_paired,analysis,11374
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/trace_smoke_analysis_paired/failure_cases.csv,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations/trace_smoke_analysis_paired,analysis,1914
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/trace_smoke_analysis_paired/report.md,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations/trace_smoke_analysis_paired,analysis,2460
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/trace_smoke_v2.config.json,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations,configuration,1795
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/trace_smoke_v2.csv,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations,supporting_result,1022
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/trace_smoke_v2_analysis/failure_analysis.json,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations/trace_smoke_v2_analysis,analysis,9530
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/trace_smoke_v2_analysis/failure_cases.csv,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations/trace_smoke_v2_analysis,analysis,1277
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/trace_smoke_v2_analysis/report.md,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations/trace_smoke_v2_analysis,analysis,1673
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/v11_equivalent_dagger_smoke_part1.config.json,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations,configuration,5247
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/v11_equivalent_dagger_smoke_part1.csv,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations,supporting_result,1012
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/v11_equivalent_dagger_smoke_part1b.config.json,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations,configuration,5247
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/v11_equivalent_dagger_smoke_part1b.csv,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations,supporting_result,562
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/v11_equivalent_dagger_smoke_part2.config.json,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations,configuration,5247
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/v11_equivalent_dagger_smoke_part2.csv,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations,supporting_result,729
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/v11_equivalent_dagger_smoke_part3.config.json,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations,configuration,5247
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/v11_equivalent_dagger_smoke_part3.csv,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations,supporting_result,738
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/v11_equivalent_ensemble_smoke/ensemble_report.json,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations/v11_equivalent_ensemble_smoke,supporting_result,1399
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/v11_equivalent_ensemble_smoke/member_00_training.csv,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations/v11_equivalent_ensemble_smoke,training_metric,165
